Username,Tweet,Date,Replies,Retweets,Likes,Bookmarks,Views,Translated_Tweet
@syria_0000,"تعيين الشيخ#أسامة_الرفاعيمفتياً عاماً للجمهورية العربية السورية.

وتشكيل لجنة إفتاء برئيسها#الرفاعيومن ضمن اللجنة الدكتور#راتب_النابلسي#سوريا#دمشق",2025-03-28T23:26:15,0,0,0,0,144,the appointment of sheikhosama_ al rafaa a general general of the syrian arab republic and the formation of a fatwa committee with its chair
@Has43175Abu,أسامة الرفاعيكما غالبية سوريا اشعرية اما هؤلاء من أصحاب فكر ابن تيمية المخالف للاشاعرة والاحناف لابل يهاجموهم ويكفرونهم,2025-03-28T23:24:04,8,0,6,0,1766,osama al rifai the majority of syria is poetic
@AlarabyTV,فريق تقني تركي يبدأ أعمال تطوير مطار#دمشقالدولي#تركيا#سوريا#التلفزيون_العربي,nan,37,50,581,26,596807,turkish technical team begins the development of the development ofdamascus international airportturkeysyriaarab tv
@ahmadAlshara_,كلمة السيد الرئيس#أحمد_الشرعخلال الإعلان عن مجلس الإفتاء الأعلى وتعيين مفتي الجمهورية العربية السورية فضيلة الشيخ#أسامة_الرفاعي#رئاسة_الجمهورية_العربية_السورية#سوريا,2025-03-28T22:33:06,0,0,2,0,407,speech of presidentahmed_ al sharaf during the announcement of the supreme ifta council and the appointment of the mufti of the syrian arab republic his eminence sheikhosama_ al rifai
@ksyr977301,ارسلان شو تعليقك على تعييناسامة الرفاعيمفتي لسوريا,2025-03-28T22:44:50,0,0,0,0,531,arslan shaw your comment on the appointments of the riffaiti of syria
@k_shinno,خلصنا من بوطي طلعنااسامه الرفاعي.هو اخي لا تتوقع شيء من مفتي كل مفتيين بكل دول اسوء من بعض الا شيخ ابن باز,2025-03-28T23:32:32,0,0,2,0,339,we saved us from the softening of his talnasah al rifai
@AishaKirkukli,أسامة الرفاعيمفتي سوريا : الشيعة مجوس هذه الامة و هم خارج دائرة الاسلام,2025-03-28T23:58:37,208,275,2019,473,270985,osama al rifai syria the shiites are the magi of this nation and they are outside the circle of islam
@ZGxk0,أسامة الرفاعيأنصبّه مفتيًا لسورياأسرحه بعنزتين,2025-03-28T23:57:28,0,0,0,0,240,osama al rifai is a mufti of syria
@Aba_Alwaled,خلصنا من أحمد حسون اجاناأسامة الرفاعيكنتو خلو حسون على الاقل متحدث,2025-03-28T22:37:00,0,0,0,0,219,we concluded from ahmed hassoun ajana osama al rafakino
@MobayedAhmed,"أنا سبقت موسى العمر بالصورة 
مع الشيخ العلامةأسامة الرفاعينفع الله به..
القاهرة2013 
بقى شوفوا لي شو بطلع من خاطركم",2025-03-28T23:02:05,0,0,3,0,196,i preceded musa al omar in the picture with sheikh al alama the osama al rifai may god benefit him cairo they stayed for me what happened to you
@Alsaqqaf_Yemen,سؤال لسماحة المفتيأسامة الرفاعي: ما حكم الانبطاح لدبابات الجيش الإسرائيلي المحتل؟,2025-03-28T22:33:56,31,0,16,0,8845,question to his eminence al mufti al rifai what is the ruling on being removed from the occupied israeli army tanks
@AAlhlby66644,أعانكم الله شيخناأسامة الرفاعيعلى هذه الأمانة العظيمة وهي التوقيع عن رب العالمين,2025-03-28T22:44:53,0,0,0,0,29,may god help you our sheikh osama al rifai on this great trust which is the signature of the lord of the worlds
@sagdhriri7,"ممكن أسال سؤال ليش الناس مختلفه على  الشيخأسامه الرفاعيمع اني بشوفو كثير مناسب ؟؟
وفي اتهامات عن تتوجهله انو صرفي  وأشعري ؟؟ 
أنا ما شفت عليه هيك شي وكمان تاريخو ثوري من الطراز الأول",2025-03-28T22:20:09,4,0,0,0,1282,can i ask a question why are people different from the sheikhs the riffa with a lot of suitability in accusations about his orientation i am my speaker and my poetry i did not see this thing and also a first class revolutionary history
@fadi0bed,حزب العمال الكردستاني يرفض قرار تعيينأسامة الرّفاعيمفتياً لسورية.,2025-03-28T23:07:02,118,14,537,19,41359,the kurdistan workers party refuses the decision to appoint an osama the definite of syria
@Imaqak,"بالنسبة لموضوع تعيينأسامة الرفاعيمفتيا عاماً للدولة : 

باختصار شديد إن إعتبار هذا التعيين ""انتصاراً"" للصوفية في ظل ان الرجل محاط بأعضاء مجلس إفتاء معظمهم تقريباً من التيار السلفي الجهادي يعتبر ضرباً من الغباء وقصر في النظر وعمى بصيرة . ..
الكلمة الأولى والأخيرة للتيار السلفي",2025-03-28T22:49:54,11,7,93,5,4986,regarding the issue of appointing osama al riffa the states general in short the consideration of this appointment is a victory for sufism in light of the man surrounded by members of the ifta council most of them are almost from the jihadi salafi current it is considered a kind of stupidity shortness in view and insight the first and last word of the salafi movement
@AlarabyTV,كلمة الرئيس السوري أحمد الشرع خلال الإعلان عن مجلس الإفتاء الأعلى وتعيين مفتي الجمهورية العربية السورية الشيخأسامة الرفاعي#سوريا,2025-03-28T22:33:06,5,18,151,4,13727,the speech of syrian president ahmed al shara during the announcement of the supreme ifta council and the appointment of the mufti of the syrian arab republic sheikh osama al rifaisyria
@fahd6789211,الشرع عيناسامة الرفاعيمفتي سوريا !!,2025-03-28T23:05:39,0,0,0,0,85,al shara aysama al rifaimi syria
@MNoaymi,"كلمة رئيس الجمهورية السيد أحمد الشرع خلال الإعلان عن مجلس الإفتاء الأعلى وتعيين مفتي الجمهورية العربية السورية.
سامة الرفاعي#سوريا#رئاسة_الجمهورية_العربية_السورية#أحمد_الشرع#أسامة_الرفاعي",2025-03-28T23:43:43,0,0,3,0,451,the speech of the president of the republic mr ahmed al shara during the announcement of the supreme ifta council and the appointment of the mufti of the syrian arab republic sama al rifaisyriapresidency
@abo_alnoor_1977,"دكتور أيمن حفظك الله
علت أصوات كثيرة بعد قرار تعين الشيخأسامة الرفاعيمفتيا
وبعض الحسابات تقول زنديق وبعضها كافر وبعضها جهمي
نرجوا من حضرتكم توضيح بهذا الخصوص",2025-03-28T23:26:17,0,0,0,0,118,dr ayman may god protect you many voices were loud and some accounts say a heretic some are an infidel some of them are we hope that you are an explanation in this regard
@sulimanalmukdad,كلمة لفخامة رئيس الجمهورية السيد#أحمد_الشرعبمناسبة تشكيل مجلس الإفتاء الأعلى وتعيين فضيلة الشيخأسامة الرفاعيمفتي للجمهورية العربية السورية.#سوريا,2025-03-28T22:18:45,0,0,2,0,84,a speech by his excellency the president of the republic mr ahmed_ al sharab on the occasion of the formation of the supreme ifta council and the appointment of his excellency the sheikh osama al rifaifi to the syrian arab republicsyria
@VforRebel,"تعييناسامة الرفاعي""اشعري العقيدة"" مفتي لسوريا",2025-03-28T22:40:15,0,0,0,0,132,appointments to al rifai ashari al aqida mufti of syria
@776c7f6a6ffb4de,النقشبندية .....أسامة الرفاعي,2025-03-28T23:22:50,0,0,0,0,114,naqshbandi osama al rifai
@Abo_ATiii,"وقال عبدُ اللهِ بنُ المبارَكِ: 

(من قال: القُرْآنُ مخلوقٌ، فهو زِنديقٌ)

هذا قول السلف ، كيف نخرجأسامة الرفاعيمن الفتوى ؟ هو يقول القران محدث مخلوق !",2025-03-28T23:23:01,0,0,5,0,232,abdullah bin al mabik said whoever says the quran is a creature it is a heretic this is the saying of the predecessors he says the quran is an updated creature
@AboA02545685,عقيدة أهل الحديث نستخدمها لمن تلزمنا ...وننكرها لمن تخالف اهوائنا...عقيدة أهل الحديث يلي تتبرى من الجهميأسامة الرفاعيوهو يتبرى منها,2025-03-28T22:24:09,0,0,0,0,330,the doctrine of the people of the hadith we use for those who obligate us and we deny it to those who contradict our whims
@ibrahim_m76i,ما هي النقشبنديةhttps://youtube.com/watch?v=yOiQSaZNodc…جلسة رقص بحضورأسامة الرفاعيhttps://youtube.com/watch?v=ifKsYAFu6lI…ختاما:أسامة الرفاعييحذر من تنظيم فتح الشام الذي كان يقوده أحمد الشرعhttps://youtube.com/watch?v=7z4S-oKmuU8…,2025-03-28T23:40:57,0,0,0,0,93,what is the naqshbandi a dance session in the presence of asama al rifai conclusion osama al rifai warns of the organization of fatah al sham which was led by ahmed sharia
@basemalkhaled,"في الصور يظهر أحمد حسون مفتي البراميل ذليلًا بعد إلقاء القبض عليه. كما يظهر الشيخأسامة الرفاعيالذي تم تعيينه مفتيا للجمهورية العربية السورية وقد تعرّض للضرب من قبل الشبيحة.
لقد باع حسون دينه من أجل دنيا بشار فأذلّه الله
 بينما تمسّك الشيخ أسامة بمبادئه ولم يبع دينه فأعزّه الله.",2025-03-28T22:46:47,0,0,2,0,634,in the pictures ahmed hassoun the mufti of the barrels appears humiliating after his arrest sheikh osama al rifai who was appointed as a mufti of the syrian arab republic and was beaten by the shabiha hassoun sold his religion for the sake of dunya bashar and god humiliated him while sheikh osama adhered to his principles and did not sell his religion god bless him
